# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Jul 18 21:55:16 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: DECAM (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
0.00085217 -1.26000 10.04922 0.0900000036 1.0816895926 0.090 -3.205 3.4609 5.393 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -5.25e-17 0.00 7.471e-01 2.520e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 12.783 17.987 16.634999999 14.733 12.801 12.159 12.038
0.00085217 -1.26000 10.04922 0.0957765132 1.1348251828 0.096 -3.050 3.4830 5.354 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -7.62e-17 0.00 7.463e-01 2.528e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 12.396 17.531 15.762 13.903 12.337 11.798 11.679
0.00085217 -1.26000 10.04922 0.1000000089 1.1711064744 0.100 -2.943 3.4984 5.326 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -9.85e-17 0.00 7.457e-01 2.534e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 12.127 17.158 15.17 13.359 12.027 11.549 11.432
0.00085217 -1.26000 10.04922 0.1088758260 1.2412428838 0.109 -2.810 3.5135 5.291 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -1.33e-16 0.00 7.447e-01 2.544e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.847e-04 11.796 16.666 14.543999999 12.793 11.663 11.237 11.122
0.00085217 -1.26000 10.04922 0.1199999899 1.3193153758 0.120 -2.659 3.5307 5.251 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -1.89e-16 0.00 7.435e-01 2.556e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 11.417 16.045 13.857999999 12.187 11.251 10.876 10.766
0.00085217 -1.26000 10.04922 0.1400000006 1.4384526719 0.140 -2.477 3.5468 5.200 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -2.81e-16 0.00 7.419e-01 2.572e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 10.963 15.318 13.15 11.561 10.774 10.438 10.333
0.00085217 -1.26000 10.04922 0.1599999964 1.5372931554 0.160 -2.337 3.5572 5.160 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -3.8e-16 0.00 7.406e-01 2.585e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 10.613 14.778 12.647 11.113 10.412 10.098 9.996
0.00085217 -1.26000 10.04922 0.2000000179 1.6938791367 0.200 -2.117 3.5711 5.092 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -6.11e-16 0.00 7.393e-01 2.598e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 10.062 13.959 11.904 10.449 9.848 9.561 9.465
0.00085217 -1.26000 10.04922 0.2500000000 1.8403257998 0.250 -1.912 3.5823 5.029 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -1.59e-16 0.00 7.390e-01 2.601e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.847e-04 9.550 13.238 11.253 9.867 9.327 9.059 8.968
0.00085217 -1.26000 10.04922 0.3000000417 1.9529140366 0.300 -1.755 3.5908 4.985 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -1.12e-16 0.00 7.392e-01 2.599e-01 1.590e-04 4.292e-05 3.892e-04 -1.000 8.846e-04 9.158 12.684 10.759 9.430 8.929 8.675 8.588
0.00085217 -1.26000 10.04922 0.3499999642 2.0434174156 0.350 -1.628 3.5980 4.954 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -1.67e-15 0.00 7.461e-01 2.530e-01 1.590e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 8.839 12.241 10.36 9.078 8.605 8.363 8.279
0.00085217 -1.26000 10.04922 0.4000000358 2.1185024810 0.400 -1.479 3.6091 4.908 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -2.32e-15 0.00 7.492e-01 2.499e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 8.468 11.687 9.87 8.662 8.226 8.001 7.923
0.00085217 -1.26000 10.04922 0.4500000179 2.1822809362 0.450 -1.303 3.6268 4.853 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -3.49e-15 0.00 7.492e-01 2.499e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 8.028 10.975 9.25 8.159 7.778 7.580 7.510
0.00085217 -1.26000 10.04922 0.4769303501 2.2129331565 0.477 -1.192 3.6422 4.829 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -4.51e-15 0.00 7.492e-01 2.499e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 7.750 10.470 8.823 7.833 7.495 7.321 7.259
0.00085217 -1.26000 10.04922 0.5000000000 2.2374541529 0.500 -1.101 3.6547 4.809 1 0.000 0.545 0.00 0.00 0.00 0.00 0.00 -1 -5.54e-15 0.00 7.492e-01 2.499e-01 1.591e-04 4.291e-05 3.892e-04 -1.000 8.846e-04 7.524 10.057 8.481 7.569 7.266 7.111 7.055
0.00085217 -1.26000 10.04922 0.5500000715 2.2836583126 0.550 -0.883 3.6842 4.750 1 0.000 0.544 0.00 0.00 0.00 0.00 0.00 -1 -9.35e-15 0.00 7.815e-01 2.178e-01 1.400e-04 3.780e-05 3.430e-04 -1.000 7.634e-04 6.978 9.020 7.688 6.953 6.719 6.606 6.565
0.00085217 -1.26000 10.04922 0.6000000238 2.3211213258 0.600 -0.678 3.7123 4.696 1 0.000 0.544 0.00 0.00 0.00 0.00 0.00 -1 -1.53e-14 0.00 7.905e-01 2.088e-01 1.351e-04 3.647e-05 3.311e-04 -1.000 7.447e-04 6.466 8.078 7.005 6.402 6.217 6.139 6.114
0.00085217 -1.26000 10.04922 0.6116241813 2.3288279555 0.611 -0.629 3.7197 4.684 1 0.000 0.544 0.00 0.00 0.00 0.00 0.00 -1 -1.71e-14 0.00 7.928e-01 2.065e-01 1.338e-04 3.613e-05 3.280e-04 -1.000 7.558e-04 6.343 7.857 6.8469999999 6.274 6.100 6.030 6.009
